staSeq,locationNa,ylat,xlong,munName,ComID,HydroID,LCODE,maxD,source,holD
"16010",Powers Lake,41.392499999999998,-72.250299999999996,EAST LYME,"121945746","201494804",POW,3.9624000000,Fisheries,11.5072474200
"19356",Quonnipaug Lake,41.392560000000003,-72.697410000000005,GUILFORD,"122170282","201495554",QUO,14.6304000000,Fisheries,
"16188",Lake Zoar,41.396949999999997,-73.188580000000002,NEWTOWN,"122975624","201496090",ZOR,19.6500000000,ABM,20.3850211800
"19306",Cedar Lake,41.401000000000003,-72.498999999999995,CHESTER,"123021082","201495032",CED,13.7160000000,Fisheries,6.9876680350
"20053",Pattaconk Reservoir,41.409269999999999,-72.524720000000002,CHESTER,"123014003","201495032",PAT,4.5750000000,ABM,6.4999347090
"15637",Lake Kononmac,41.411400000000000,-72.178299999999993,WATERFORD,"121942365","201494403",KON,,,11.5384938100
"16147",Morgan Pond,41.411400000000000,-72.032499999999999,LEDYARD,"121936073","201494125",MRG,,,7.7498808140
"20166",Taunton Pond,41.413243000000001,-73.337002999999996,NEWTOWN,"122966411","201496103",TAU,9.1440000000,Fisheries,13.5935542000
"16151",Turkey Hill Reservoir,41.427999999999997,-72.524000000000001,HADDAM,"123013984","201494811",TUR,3.0480000000,Fisheries,7.3490315310
"20765","UNK (""Big Spectacle Meadow Pond"")",41.445470000000000,-72.620909999999995,DURHAM,,,,1.5000000000,ABM,0.5425124570
"19334",Long Pond,41.449480000000001,-71.949389999999994,NORTH STONINGTON,"121937190","201493458",LNG,20.1000000000,ABM,4.6000044960
"20178",Lantern Hill Pond,41.458260000000003,-71.946770000000001,NORTH STONINGTON,"121937174","201493324",LAN,9.7536000000,Fisheries,11.7151071100
"18148",Ball Pond,41.462952999999999,-73.523720999999995,NEW FAIRFIELD,"122946916","201495969",BAL,15.8496000000,Fisheries,8.2157595240
"14603",Candlewood Lake,41.464100000000002,-73.442400000000006,NEW FAIRFIELD,"122963825","201496142",CAN,25.9080000000,Fisheries,45.6961170200
"15630",Millers Pond,41.478200000000001,-72.632300000000001,DURHAM,"123013360","201494530",MLP,,,3.0374540070
"14683",Lake Lillinonah,41.479300000000002,-73.349500000000006,BRIDGEWATER,"122986239","201495786",LLL,,,20.3850211800
"14359",North Farms Reservoir,41.485300000000002,-72.781300000000002,WALLINGFORD,"122186252","201494903",NOR,1.5240000000,Fisheries,3.9965502010
"19325",Higganum Reservoir,41.488999999999997,-72.560000000000002,HADDAM,"123013848","201494359",HIN,10.3632000000,Fisheries,1.3052648950
"19330",Lake of Isles,41.489460000000001,-71.948530000000005,NORTH STONINGTON,"121937117","201492896",LOI,3.0480000000,Fisheries,7.6094483610
"18149",Bashan Lake,41.490909000000002,-72.411045000000001,EAST HADDAM,"123014500","201493825",BAS,14.3256000000,Fisheries,15.5076675900
"15640",Wyassup Lake,41.491300000000003,-71.872600000000006,NORTH STONINGTON,"136210665","201492775",WYA,8.5344000000,Fisheries,11.2439881100
"19300",Avery Pond,41.493000000000002,-71.978999999999999,PRESTON,"121937110","201492857",AVE,4.2672000000,Fisheries,6.6524543440
"15873","Moodus Reservoir, Upper",41.503599999999999,-72.407100000000000,EAST HADDAM,"123021073","201493672",MOO,3.0480000000,Fisheries,
"16008",Gardner Lake,41.507500000000000,-72.221999999999994,MONTVILLE,"121933826","201493077",GAR,13.1064000000,Fisheries,10.9782416200
"19296",Andersons Pond,41.508000000000003,-71.896000000000001,NORTH STONINGTON,"122359992","201492507",ANS,2.1336000000,Fisheries,2.7769352820
"19304",Billings Lake,41.508850000000002,-71.873829999999998,NORTH STONINGTON,"122359984","201492436",BIL,10.0584000000,Fisheries,8.6832221860
"15870",Squantz Pond,41.511499999999998,-73.472800000000007,NEW FAIRFIELD,"122963716","201495626",SQU,14.3256000000,Fisheries,36.1484519100
"19316",Dooley Pond,41.512000000000000,-72.668000000000006,MIDDLEFIELD,"123009820","201494246",DOO,4.8768000000,Fisheries,2.4778461480
"15705",Lake Beseck,41.512300000000003,-72.728399999999993,MIDDLEFIELD,"123009804","201494330",BES,7.6200000000,Fisheries,8.5311762240
"20052","Moodus Reservoir, Lower",41.514490000000002,-72.423360000000002,EAST HADDAM,"123021073","201493672",MOO,3.0480000000,Fisheries,
"16030",Amos Lake,41.516199999999998,-71.974699999999999,PRESTON,"121935544","201492651",AMO,14.6304000000,Fisheries,7.9404764280
"15706",Lake Beseck,41.516800000000003,-72.730000000000004,MIDDLEFIELD,"123009804","201494330",BES,7.6200000000,Fisheries,8.5311762240
"15626",Lake Hayward,41.518169999999998,-72.327740000000006,EAST HADDAM,"123012648","201493617",HAY,11.2776000000,Fisheries,11.9782973900
"14224",Hanover Pond,41.523600000000002,-72.834199999999996,MERIDEN,"122176206","201494483",HNP,,,5.4322782440
"14180",Crystal Lake,41.524000000000001,-72.638999999999996,MIDDLETOWN,"123009778","201493954",CRL,7.3152000000,Fisheries,1.6116276530
"18150",Black Pond,41.524515999999998,-72.743136000000007,MIDDLEFIELD,"122177570","201494258",BLA,7.0104000000,Fisheries,9.6719013840
"14253",Pickerel Lake,41.525700000000001,-72.420299999999997,COLCHESTER,"123011773","201493607",PIC,3.0480000000,Fisheries,5.1694370130
"19321",Green Fall Reservoir,41.530569999999997,-71.809749999999994,VOLUNTOWN,"136215971","201492119",GFR,7.7500000000,ABM,7.4709962730
"19095",Lake Quassapaug (Middlebury),41.530589999999997,-73.154319999999998,MIDDLEBURY,"122982929","201495084",QUS,19.8120000000,Fisheries,15.4817462700
